Zeit in s - Temperaturverlauf	Temperatur in °C - Temperaturverlauf
0,3	25,8
2	25,9
3	26
4	25,8
5	25,9
6	25,8
7	25,8
8	25,6
9	25
10	26,5
11	29,4
12	30,6
13	52
14	52,4
15	51,7
16	52,1
17	52,1
18	51,7
19	52
20	51,9
21	52,1
22	51,8
23	51,7
24	53
25	52,5
26	52,2
27	52,2
28	52
29	52
30	52,7
31	51,3
32	52,3
33	51,7
34	51,6
35	52,5
36	52,1
37	51,7
38	51,4
39	52,3
